-13,1,,,,,,,,,,,,,
-12,1,,,,,,,,,,,,,
-11,2,,,,,,,,,,,,,
-10,2,-10,1,,,,,,,,,,,
-9,4,-9,5,,,,,,,,,,,
-8,6,-8,8,,,,,,,,,,,
-7,8,-7,19,,,,,,,,,,,
-6,12,-6,26,,,,,,,,,,,
-5,38,-5,78,,,,,,,,,,,
-4,72,-4,122,,,,,,,,,,,
-3,120,-3,239,,,,,,,,,,,
-2,219,-2,350,,,,,,,,,,-3,120
-1,323,-1,466,,,,,,,,,,-2,219
0,719,0,637,,,,,,,,,,-1,323
1,874,1,738,,,,,,,,,,0,719
2,1097,2,825,,,,,,,,,,1,874
3,1056,3,891,,,,,,,,,-6.3,2,1097
4,870,4,866,,,,,,,,,-3.05,3,1056
5,708,5,758,IQR: -5,,,,,,,3.45,0.2,4,870
6,496,6,651,1st: 1,,,,,,,3.25,6.7,5,708
7,367,7,480,Median: 3,,,,66% in 1st quartile,,,,9.95,6,496
8,245,8,328,3rd: 6,,,,,,,,12.2,7,367
9,281,9,211,IQR: 14,,,,,,0.0622,,,8,245
10,143,10,151,,,,,,,,,,9,281
11,159,11,77,,,,,,,,,,10,143
12,131,12,43,,,,,,,,,,11,159
13,86,13,28,,,,,,,,1: 70.8%,,12,131
14,75,14,74,38,,,,,,,2: 94.3%,,,7808
15,64,15,75,72,,,,,,,,,,
16,56,16,54,120,,,,,,,,,,
17,38,17,53,219,,,,,,,,,,
18,31,18,60,323,,,,,,,,,,
19,25,19,30,719,,0,75,0.189873418,,,,,,
20,29,20,29,874,,,64,0.162025316,,,,,,
21,24,21,23,1097,,,56,0.141772152,,,,,-7,1
22,24,22,4,1056,,,38,0.096202532,,,,,-6,3
23,17,23,4,870,,,31,0.078481013,,,,,-5,12
24,12,24,2,708,,,25,0.063291139,,,,,-4,39
25,8,25,1,496,,,29,0.073417722,,,,,-3,100
26,9,27,1,367,,,24,0.060759494,,,,,-2,233
27,2,29,5,245,,,24,0.060759494,,12,,,-1,443
28,10,30,3,281,,,17,0.043037975,,8,,,0,702
29,8,31,2,143,,,12,0.030379747,,9,,,1,924
30,5,32,4,159,,395,,,,2,,,2,1209
31,5,35,2,131,,,,,,10,,,3,1290
32,5,37,4,86,,,,,,8,,,4,1073
33,7,39,2,75,,,,,,5,,,5,854
34,5,40,3,8079,,,500,,,5,,,6,583
35,4,42,1,,,,,,,5,,,7,324
36,3,44,1,,,,,,,7,,,8,154
37,1,45,1,,,,,,,5,,,9,60
38,1,46,1,,,,,,,4,,,10,12
39,4,48,2,,,,,,,3,,,11,9
40,2,49,1,,,,,,,1,,,14,66
41,5,50,3,,,,,,,1,,,15,83
42,3,51,3,,,,,4,,,,,16,68
43,1,53,1,,,,,2,,,,,17,61
44,2,54,1,,,,,5,,,,,18,49
45,5,55,1,,,,,3,,,,,19,34
47,2,56,1,,,,,1,,,,,20,31
48,1,58,1,,,,,2,,,,,21,25
49,2,60,2,,,,,5,,,,,22,12
50,1,61,3,,,,,2,,,,,23,3
51,1,62,2,,,,,1,,,,,25,3
52,3,63,2,,,,,2,,,,,27,1
53,2,64,3,,,,,1,,,,,28,4
54,1,65,2,,,,,1,,,,,29,2
55,1,67,2,,,,,3,,,,,30,2
57,1,68,2,,,,,2,,,,,31,3
58,1,69,2,,,,,1,,,,,32,1
60,1,71,2,-10,1,,,1,,,,,33,2
61,1,73,1,-9,5,,,1,,,,,34,1
62,2,74,3,-8,8,,,1,,,,,35,2
63,1,78,2,-7,19,,,1,,,,,36,2
64,1,80,1,-6,26,,,1,,,,,38,1
66,1,81,1,-5,78,,,2,,,,,39,1
67,1,82,2,-4,122,,,1,,,,,41,1
69,1,83,5,-3,239,,,1,,,,,42,1
70,2,87,2,-2,350,,,1,,,,,43,1
71,2,88,1,-1,466,,,1,,,,,45,2
72,2,90,1,0,637,,,1,,,,,46,3
74,1,92,1,1,738,,,2,,,,,49,3
75,7,94,1,2,825,,,2,,,,,50,2
79,1,95,2,3,891,,,2,,,,,51,2
80,1,97,3,4,866,,,1,,,,,52,1
84,1,98,1,5,758,,,7,,,,,55,1
85,3,,,6,651,,,1,,,,,57,7
,8575,,,7,480,,,1,,,,,58,1
,,,,8,328,,,1,,,,,59,1
,,,,9,211,,,3,,,,,60,2
,,,,10,151,,,85,,,,,62,2
,,,,11,77,,,,,,,,63,1
,,,,12,43,,,,,,,,64,2
,,,,13,28,,,,,,,,65,3
,,,,14,74,,,,,,,,66,4
,,,,15,75,,,,,,,,67,2
,,,,16,54,,,,,,,,68,1
,,,,17,53,,,,,,,,69,2
,,,,18,60,,,,,,,,70,2
,,,,19,30,,,,,,,,72,1
,,,,20,29,,,,,,,,75,1
,,,,21,23,,,,,,,,76,1
,,,,22,4,,,,,,,,77,3
,,,,23,4,,,,,,,,78,2
,,,,24,2,,,,,,,,79,2
,,,,25,1,,,,,,,,81,4
,,,,27,1,,,,,,,,82,1
,,,,29,5,,,,,,,,83,1
,,,,30,3,,,,,,,,84,1
,,,,31,2,,,,,,,,85,1
,,,,32,4,,,,,,,,86,3
,,,,35,2,,,,,,,,87,2
,,,,37,4,,,,,,,,88,2
,,,,39,2,,,,,,,,89,1
,,,,40,3,,,,,,,,91,4
,,,,42,1,,,,,,,,92,1
,,,,44,1,,,,,,,,94,2
,,,,45,1,,,,,,,,95,1
,,,,46,1,,,,,,,,96,1
