-33,1
-27,1
-23,2
-22,2
-20,2
-19,1
-18,3
-16,1
-15,5
-14,1
-13,5
-12,4
-11,8
-10,12
-9,12
-8,16
-7,18
-6,25
-5,25
-4,15
-3,31
-2,40
-1,36
0,183
1,63
2,86
3,78
4,80
5,83
6,84
7,75
8,69
9,106
10,17
11,26
12,31
13,25
14,26
15,42
16,37
17,41
18,43
19,45
20,53
21,29
22,33
23,39
24,35
25,33
26,24
27,39
28,29
29,21
30,25
31,27
32,35
33,32
34,18
35,21
36,23
37,25
38,21
39,22
40,22
41,24
42,19
43,29
44,18
45,15
46,19
47,16
48,21
49,17
50,22
51,10
52,10
53,17
54,16
55,17
56,16
57,23
58,25
59,16
60,19
61,17
62,12
63,12
64,17
65,27
66,17
67,12
68,25
69,15
70,23
71,23
72,12
73,9
74,17
75,28
76,14
77,16
78,20
79,18
80,81
81,15
82,9
83,6
84,10
85,9
86,7
87,7
88,6
89,7
90,9
91,5
92,4
94,3
95,1
97,2
98,1
99,3
